card_id,review_time,review_rating,review_state,review_duration,tag
2194,1748926617734,2,0,108353,#!國考題
2889,1748926995747,2,0,369370,#!國考題
5076,1748927016718,4,0,12537,#!國考題
1945,1748927034367,4,1,3102,#!國考題
4272,1748927066798,3,0,17542,#!國考題
2126,1748927074732,4,0,1576,#!國考題
4284,1748927368749,4,0,284887,#!國考題
2145,1748927580606,4,0,198499,#!國考題
4197,1748927632853,2,0,21860,#!國考題
4159,1748927712760,4,0,72511,#!國考題
1922,1748927753292,2,1,21951,#!國考題
2029,1748927804571,4,0,41950,#!國考題
4398,1748927822795,4,0,8541,#!國考題
2068,1748927858258,4,0,32805,#!國考題
5075,1748927877511,4,0,14654,#!國考題
6920,1748927961941,4,0,65661,#!國考題
4348,1748928033125,3,0,48989,#!國考題
4310,1748928175863,2,0,113642,#!國考題
4372,1748928189401,4,0,1512,#!國考題
2067,1748928208939,4,0,16671,#!國考題
3806,1748928218420,4,0,4821,#!國考題
2890,1748928375609,2,0,137162,#!國考題
6944,1748928720254,3,0,135580,#!國考題
2177,1748928753150,4,0,25432,#!國考題
4366,1748928842096,4,0,63757,#!國考題
4211,1748928920773,4,0,64193,#!國考題
2306,1748928963172,4,0,30824,#!國考題
4295,1748929685848,4,0,14616,#!國考題
2072,1748929997108,2,0,297209,#!國考題
4300,1748930050688,4,0,25993,#!國考題
5068,1748930073475,4,0,10251,#!國考題
4328,1748930400650,4,0,283064,#!國考題
3873,1748930447836,2,0,33683,#!國考題
5707,1748932322529,4,0,1710,#!詞彙連結
6283,1748932335056,2,0,1748,#!詞彙連結
5870,1748932346425,4,0,1006,#!詞彙連結
5855,1748932357797,4,0,630,#!詞彙連結
6321,1748932373014,2,0,2018,#!詞彙連結
5671,1748932384835,4,0,599,#!詞彙連結
5832,1748932388615,4,0,531,#!詞彙連結
6736,1748932396467,4,0,1080,#!詞彙連結
5709,1748932402940,4,0,966,#!詞彙連結
5786,1748932405190,4,0,457,#!詞彙連結
6223,1748932413749,2,0,2213,#!詞彙連結
6314,1748932421255,2,0,1634,#!詞彙連結
6757,1748932456605,2,0,28898,#!詞彙連結
6764,1748932519112,4,0,2100,#!詞彙連結
6282,1748932524722,2,0,2047,#!詞彙連結
5727,1748932531426,3,0,2459,#!詞彙連結
6740,1748932555615,2,0,7125,#!詞彙連結
6202,1748932560595,4,0,1822,#!詞彙連結
5702,1748932566339,4,0,1514,#!詞彙連結
5773,1748932573720,2,0,1109,#!詞彙連結
6744,1748932581550,2,0,1949,#!詞彙連結
6217,1748932587078,2,0,2315,#!詞彙連結
6720,1748932597712,2,0,2061,#!詞彙連結
5847,1748932607920,2,0,1942,#!詞彙連結
5740,1748932613305,4,0,540,#!詞彙連結
5831,1748932621504,2,0,2205,#!詞彙連結
5839,1748932631801,2,0,3284,#!詞彙連結
5793,1748932635843,4,0,554,#!詞彙連結
6243,1748932641843,2,0,1641,#!詞彙連結
5696,1748932652367,4,0,3802,#!詞彙連結
6328,1748932699949,2,0,28223,#!詞彙連結
5746,1748932708903,2,0,2579,#!詞彙連結
5761,1748932722179,2,0,1567,#!詞彙連結
6732,1748932727549,4,0,1184,#!詞彙連結
5806,1748932732199,2,0,989,#!詞彙連結
5860,1748932741747,4,0,4582,#!詞彙連結
6264,1748932755900,2,0,2249,#!詞彙連結
5807,1748932763122,2,0,1109,#!詞彙連結
5711,1748932777005,2,0,5811,#!詞彙連結
5851,1748932783448,4,0,592,#!詞彙連結
5874,1748932786103,4,0,1056,#!詞彙連結
6761,1748932797534,4,0,1559,#!詞彙連結
6240,1748932816352,4,0,4297,#!詞彙連結
6753,1748932835238,4,0,4776,#!詞彙連結
6745,1748932844696,3,0,2798,#!詞彙連結
5751,1748932855271,4,0,653,#!詞彙連結
5821,1748932859290,4,0,743,#!詞彙連結
6758,1748932876256,2,0,13680,#!詞彙連結
5828,1748932890221,2,0,1087,#!詞彙連結
5719,1748932892824,4,0,600,#!詞彙連結
6356,1748932902071,2,0,2617,#!詞彙連結
6212,1748932908206,4,0,860,#!詞彙連結
6267,1748932921317,2,1,3659,#!詞彙連結
5817,1748932923875,4,0,449,#!詞彙連結
5765,1748932931120,4,0,877,#!詞彙連結
6340,1748932937398,4,0,1140,#!詞彙連結
5728,1748932952397,4,0,1320,#!詞彙連結
6206,1748932997751,2,0,7889,#!詞彙連結
5688,1748933001846,4,0,591,#!詞彙連結
5774,1748933005199,4,0,532,#!詞彙連結
5876,1748933007636,4,0,359,#!詞彙連結
5737,1748933011206,4,0,959,#!詞彙連結
5816,1748933012399,4,0,772,#!詞彙連結
5748,1748933030805,2,0,7492,#!詞彙連結
5824,1748933084972,2,0,23400,#!詞彙連結
6338,1748933092247,4,0,1657,#!詞彙連結
6735,1748933103055,2,0,2782,#!詞彙連結
6303,1748933109370,2,0,3411,#!詞彙連結
6230,1748933114650,4,0,576,#!詞彙連結
5815,1748933116562,4,0,689,#!詞彙連結
6279,1748933152232,3,0,18997,#!詞彙連結
6329,1748933197040,2,0,32116,#!詞彙連結
6218,1748933235854,2,0,33727,#!詞彙連結
5859,1748933255931,4,0,614,#!詞彙連結
6347,1748933274082,2,0,13717,#!詞彙連結
6726,1748933292750,2,0,5541,#!詞彙連結
5849,1748933305764,2,0,6833,#!詞彙連結
5865,1748933311127,4,0,869,#!詞彙連結
6204,1748933315919,4,0,660,#!詞彙連結
6216,1748933322181,4,0,405,#!詞彙連結
6730,1748933332127,2,0,4380,#!詞彙連結
6733,1748933340145,2,0,4162,#!詞彙連結
5701,1748933342575,4,0,351,#!詞彙連結
6284,1748933378486,2,0,30060,#!詞彙連結
5741,1748933424881,3,0,24351,#!詞彙連結
5691,1748933429448,4,0,697,#!詞彙連結
5667,1748933431174,4,0,442,#!詞彙連結
5825,1748933444696,3,0,11301,#!詞彙連結
5813,1748933447150,4,0,758,#!詞彙連結
5703,1748933449062,4,0,359,#!詞彙連結
5797,1748933452677,4,0,540,#!詞彙連結
5814,1748933470903,4,0,3983,#!詞彙連結
5790,1748933474368,4,0,456,#!詞彙連結
